id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,,2025-06-18 03:10:35+00:00,Al Día News,Club World Cup: The Wide Gap Between Europe and Latin America,,,,,,https://aldianews.com/en/sports/soccer-and-society/club-world-cup-wide-gap,The new club tournament is underway. This competition reveals the current state of the football world as it enters a new era.,,https://aldianews.com/sites/default/files/2025-06/FOTO%20MUNDIAL%20DE%20CLUBES.jpg,,,2025-06-18 04:00:38.873252
,,2025-06-18 02:04:05+00:00,Bilyonaryo Business News -,Latin American countries to launch own AI model in September,,,,,,https://bilyonaryo.com/2025/06/18/latin-american-countries-to-launch-own-ai-model-in-september/technology/,"A dozen Latin American countries are collaborating to launch Latam-GPT in September, the first large artificial intelligence language model trained to understand the region's diverse cultures and linguistic nuances, Chilean officials said on Tuesday.",,https://bilyonaryo.com/wp-content/uploads/2025/06/AI.jpg,,,2025-06-18 00:58:55.354115
,,2025-06-18 01:40:44+00:00,www.investing.com,Where to Invest in 2025: Milko Grbic's Strategic Outlook for Latin American Investors,,,,,,https://www.investing.com/studios/contributor-content/where-to-invest-in-2025%253A-milko-grbic%25E2%2580%2599s-strategic-outlook-for-latin-american-investors-382916,"AMC Entertainment · Nio A ADR · Super Micro Computer · Commodities · Real Time ... Milko Grbic an entrepreneur, business leader, and investor with over ...",,,,,2025-06-18 00:58:55.354115
,,2025-06-17 23:38:09+00:00,www.canneslions.com,Cannes Lions  announces winners across the Lions in the Entertainment and Craft Tracks,,,,,,https://www.canneslions.com/news/cannes-lions-announces-2025-winners-across-entertainment-and-craft-tracks,Cannes Lions  announces winners across the Lions in the Entertainment and Craft Tracks,,//images.ctfassets.net/vjs6vfoxg7y6/4opCcrk7JYjMCKvmvacrmm/260c0f614f4f5c17ebba85ea5eab3fe6/Open_Graph_Image_home.png,,,2025-06-17 20:02:59.950957
,,2025-06-17 21:07:34+00:00,Animation World Network,VIZ Media Confirms ‘One-Punch Man’ Season 3 Acquisition,,,,,,http://www.awn.com/news/viz-media-confirms-one-punch-man-season-3-acquisition,"Deal includes theatrical, television, digital, home entertainment, ancillary, and merchandise rights across North America, Latin America, and Oceania.",,https://www.awn.com/sites/default/files/styles/large_featured/public/image/featured/opm1b-1280.jpg?itok=_jbiOrOZ,,,2025-06-17 18:05:45.505160
,,2025-06-17 20:40:39+00:00,Yahoo Entertainment,Oscar Maydon’s ‘Rico o Muerto’ Scores Two Top 10 Debuts on Latin Charts: ‘We Deserved It’,,,,,,https://www.yahoo.com/entertainment/articles/oscar-maydon-rico-o-muerto-202734260.html,Maydon's latest album launched with high placements on both Top Latin Albums and Top Regional Mexican Albums.,,https://s.yimg.com/ny/api/res/1.2/QXHqBN10wQNT9SFaJmGvVQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTM-/https://media.zenfs.com/en/billboard_547/5f632e294c6cb08726caca5d8cbd0a29,,,2025-06-17 17:03:48.281916
,,2025-06-17 20:40:36+00:00,Yahoo Entertainment,Natti Natasha Sets New Record on Latin Airplay Chart With ‘Desde Hoy’,,,,,,https://www.yahoo.com/entertainment/articles/natti-natasha-sets-record-latin-200052217.html,The song lands at the summit in its 18th week.,,https://s.yimg.com/ny/api/res/1.2/J1DFn61Lb.lgvpRoGeny4Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTQ-/https://media.zenfs.com/en/billboard_547/16baca596831d95218a857e9e2834a40,,,2025-06-17 17:03:48.281916
,,2025-06-17 20:32:23+00:00,Blavity News & Entertainment,What Is Reggaeton Star Daddy Yankee’s Net Worth in 2025? - Blavity,,,,,,https://blavity.com/entertainment/daddy-yankee-net-worth,"Daddy Yankee , a Puerto Rican reggaeton musician, is best known for huge hits like “Gasolina” and “Despacito.” These massive hits skyrocketed him to the upper echelons of the music industry, earning him collabs with several other reggaeton artists . The artist retired from music in 2022 after having a religious awakening. Since then, his faith has been a driving force in his personal and professional lives. Though he retired from music in 2022, Daddy Yankee’s net worth hasn’t stopped growing. Since retiring, Daddy Yankee has focused on managing his multiple business ventures, securing music rights deals, and philanthropy work in his home country of Puerto Rico and other Latin American countries. So, how much is Daddy Yankee’s empire worth in 2025? Let’s dive into his various income streams and how they contribute to his net worth in 2025. How Did Daddy Yankee Become Famous? Born Ramón Luis Ayala Rodríguez in Río Piedras, Puerto Rico, Daddy Yankee originally dreamed of becoming a...",,https://cms.blavity.com/wp-content/uploads/2025/05/GettyImages-1341856883-scaled.webp,,,2025-06-17 20:02:59.950957
,,2025-06-17 20:15:12+00:00,Latin Times,Alejandro Sanz Publishes Open Letter to Fan Who Accused Him of Emotional Abuse,,,,,,https://www.latintimes.com/alejandro-sanz-publishes-open-letter-fan-who-accused-him-emotional-abuse-585176,"The Spanish artist published a text on social media in which he addresses the issue and gives his version of why Ivet Playá decided to speak out now. According to Alejandro Sanz, it was because she refused to do something he had asked her to do.",,https://d.latintimes.com/en/full/579245/alejandro-sanz-latin-billboard-lifetime-achievement-award.jpg,,,2025-06-17 20:02:59.950957
,,2025-06-17 19:36:13+00:00,adage.com,Bad Bunny’s ingenious album release campaign wins Entertainment Lions for Music Grand Prix,,,,,,https://adage.com/events-awards/cannes-lions/aa-bad-bunny-entertainment-music/,Tracking Bad Bunny sent fans on a Google Street View GPS hunt to discover song titles hidden across Puerto Rico.,,https://cloudfront-us-east-1.images.arcpublishing.com/crain/N3C7QWO43FGVPGOE5DFBB7W4GM.jpg,,,2025-06-17 16:11:40.479323
,,2025-06-17 18:44:35+00:00,www.gamesbras.com,Pragmatic Play signs latest LatAm partnership deal with Más 1x2 - ﻿Games Magazine Brasil,,,,,,https://www.gamesbras.com/english-version/2025/6/17/pragmatic-play-signs-latest-latam-partnership-deal-with-mas-1x2-55848.html,"Pragmatic Play, a leading content supplier to the iGaming industry, has strengthened its position in Latin America through a partnership deal with online casino and sportsbook operator Más 1x2. This latest deal further highlights Pragmatic Play’s strategic efforts to expand its presence in LatAm, delivering immersive experiences to players through continued innovation.",,https://www.gamesbras.com/u/fotografias/m/2025/6/17/f960x0-43998_44016_0.jpg,,,2025-06-17 19:04:41.354553
,,2025-06-17 17:24:31+00:00,Latin Times,"Russians Mock Trump's Military Parade in Viral Video, Comparing His Standards to China",,,,,,https://www.latintimes.com/russians-mock-trumps-military-parade-viral-video-comparing-his-standards-china-585113,"Memes mocking the lackluster turnout to Trump's military birthday parade have transcended borders, with a viral video out of Russia drawing attention online.",,https://d.latintimes.com/en/full/579182/russians-mock-trumps-military-parade-viral-video-comparing-his.jpg,,,2025-06-17 17:03:48.281916
,,2025-06-17 15:04:55+00:00,los40.us,What’s the Meaning Behind Karol G’s ‘Tropicoqueta’ Teaser Featuring Telenovela Icons? - los40.us,,,,,,https://los40.us/2025/whats-the-meaning-behind-karol-gs-tropicoqueta-teaser-featuring-telenovela-icons-35081.html,"The Colombian star channels telenovela drama, tropical flair, and Latin nostalgia in her bold new era featuring several queens",,https://los40.us/wp-content/uploads/2025/06/GettyImages-2213224821.jpg,,,2025-06-17 15:10:32.395985
,,2025-06-17 13:11:04+00:00,www.formatbiz.it,Latin America's Streaming Boom: Why Unscripted Content Is Winning Hearts - FormatBiz,,,,,,https://www.formatbiz.it/dettNews.aspx%3Fid%3D13094,Latin America's Streaming Boom: Why Unscripted Content Is Winning Hearts ... Conecta FICTION & ENTERTAINMENT 2025 Kicks Off in Cuenca. Cuenca; 2025-06 ...,,,,,2025-06-17 10:02:25.530092
,,2025-06-17 11:40:44+00:00,Hindustan Times,"CDRI announces $2.47 million climate fund for cities in Latin America, South Asia",,,,,,https://www.hindustantimes.com/india-news/cdri-announces-2-47-million-climate-fund-for-cities-in-latin-america-south-asia-101750159274740.html,"These projects aim to benefit nearly 2.9 million people in Bhutan, Brazil, Honduras, India, and Sri Lanka by creating climate-resilient cities",,https://www.hindustantimes.com/ht-img/img/2025/06/17/1600x900/In-India--the-CDRI-funds-will-go-into-implementing_1750159268275.jpg,,,2025-06-17 12:19:10.291325
,,2025-06-17 11:37:00+00:00,EWTN Vatican,Cardinal Burke appeals for restoration of Traditional Latin Mass,,,,,,https://www.ewtnvatican.com/articles/cardinal-burke-appeals-for-restoration-of-traditional-latin-mass-5691,Cardinal Raymond Burke said he has asked Pope Leo XIV to remove measures restricting the celebration of the Traditional Latin Mass (TLM) in dioceses. ,,https://www.ewtnvatican.com/uploads/images/Cardinal-Raymond-Burke-TLM.webp,,,2025-06-17 08:06:48.640634
,,2025-06-17 11:02:06+00:00,ajc,"Latin music is on the rise in Atlanta, but there is room for growth",,,,,,https://www.ajc.com/arts-entertainment/2025/06/amid-national-boom-atlantas-latin-music-scene-is-very-early-stages/,"While Atlanta venues have grown more receptive to Latin music over the years, the city‚Äôs Latin music scene is still a budding field. ",,https://www.ajc.com/resizer/v2/W66M3RLSH44XI6EKR6BK7TIR5I.jpg?auth=9bf25818f1c8cbc963400c4e1de3a1c4b657a049d709a0847ce16ddca7e5a7bf&width=1200&height=630&smart=true,,,2025-06-17 08:06:48.640634
