id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Clean Air & Water,2026-07-31 20:19:35+00:00,Planet Detroit,Michigan environmental news: EPA moves to declare Detroit ozone compliant,,,,,,https://planetdetroit.org/2026/07/michigan-environmental-news-epa-detroit-ozone/,Federal agency moves to ease air quality regulations in Detroit despite concerns over pollution levels and public health impacts,,https://planetdetroit.org/wp-content/uploads/2026/06/iStock-92222721.jpg,,,2026-07-31 17:03:49.895460
,Costs & Impacts,2026-07-31 20:19:15+00:00,Town Of Ogden Dunes,File a Complaint,,,,,,https://ogdendunes.in.gov/file-a-complaint,"If you have any concerns about potentially hazardous materials, industrial pollution, or violations ...",,https://storage.googleapis.com/juniper-media-library/592/2026/06/Ogden_Dunes_logo_footer.png,,,2026-07-31 18:05:13.400742
,Costs & Impacts,2026-07-31 20:16:52+00:00,www.bbc.com,"Minnesota not Iran to blame for state's water issues, says Trump",,,,,,https://www.bbc.com/news/articles/cvgwe2qpgq1o,"The US president's comments come after cyber attacks on Minnesota's water systems earlier this week, with US media indicating Iran could be behind it.",,https://ichef.bbci.co.uk/news/1024/branded_news/a0b2/live/61844dd0-8c7c-11f1-975a-199a8ce99575.jpg,,,2026-07-31 17:03:49.895460
,Costs & Impacts,2026-07-31 19:50:11+00:00,iowacapitaldispatch.com,Environmental groups sue Iowa DNR over Ottumwa coal plant discharge permits,,,,,,https://iowacapitaldispatch.com/2026/07/31/environmental-groups-sue-iowa-dnr-over-ottumwa-coal-plant-discharge-permits/,... Environmental Protection Agency in 2024 to strengthen the wastewater discharge standards for coal-fired power plants — to the Ottumwa Generating ...,,,,,2026-07-31 19:02:43.131227
,,2026-07-31 19:24:55+00:00,JD Supra,Environmental Policy in Transition: The Top Federal Actions to Watch in 2026 | JD Supra,,,,,,https://www.jdsupra.com/legalnews/environmental-policy-in-transition-the-7728716/,The second half of 2026 is shaping up to be a pivotal period for U.S. environmental policy. Federal agencies and lawmakers are advancing proposals...,,https://jdsupra-static.s3.amazonaws.com/profile-images/og.16177_1251.png,,,2026-07-31 18:05:13.400742
,Clean Air & Water,2026-07-31 19:16:14+00:00,JD Supra,"Air Enforcement: U.S. Environmental Protection Agency and Pueblo, Colorado Gasoline Dispensing Facility Enter into Expedited Settlement Agreement | JD Supra",,,,,,https://www.jdsupra.com/legalnews/air-enforcement-u-s-environmental-9485642/,The United States Environmental Protection Agency (“EPA”) and CF Altitude L.L.C.  (“CF”) entered into a June 8th Expedited Settlement Agreement...,,https://jdsupra-static.s3.amazonaws.com/profile-images/og.15833_1120.jpg,,,2026-07-31 16:04:58.382955
,Opposition & Allies,2026-07-31 19:02:17+00:00,The State of Illinois Newsroom,Gov. Pritzker Takes Bill Action ,,,,,,https://gov-pritzker-newsroom.prezly.com/s/98c5f983-42b3-4b68-b513-01e1eee26fe4,"Today, Governor JB Pritzker took the following bill action:",,https://cdn.uc.assets.prezly.com/36fea725-e751-4a26-a9a1-feb276243fe8/-/preview/600x600/,,,2026-07-31 20:02:34.655581
,,2026-07-31 18:40:05+00:00,E&E News by POLITICO,CISA warns of ‘significant increase’ in cyber threats to US water utilities,,,,,,https://www.eenews.net/articles/cisa-warns-of-significant-increase-in-cyber-threats-to-us-water-utilities/,"The Trump administration has not formally attributed recent attacks on water systems in Minnesota to any group, but industry officials say the evidence",,https://static.politico.com/dims4/default/55a1666/2147483647/resize/1200/quality/100/?url=https://static.politico.com/8f/90/ea4df30d45cf9c3ce3809fab5687/https-delivery-gettyimages.com/downloads/2099926548,,,2026-07-31 19:02:43.131227
,Costs & Impacts,2026-07-31 18:24:56+00:00,Discover Wildlife,Google wants to release millions of mosquitoes across the US. Here’s why | Discover Wildlife,,,,,,https://www.discoverwildlife.com/animal-facts/insects-invertebrates/google-debug-mosquito-us-release,"Google’s parent company, Alphabet, has applied for a permit from the US Environmental Protection Agency",,https://d2rj6cu2ik1biv.cloudfront.net/193c804a-a673-47bd-b09b-11baf4822a17/9ac494a4-627d-4fea-a827-dcf588dd6f96/9f987505-3ab4-4eee-ab89-fd75bc20909b/thumbnails/c2094060-e2d8-4b0e-a4bd-b6122330a62e.jpg?w=1200,,,2026-07-31 15:06:16.273404
,Costs & Impacts,2026-07-31 18:24:27+00:00,WDET 101.9 FM,"If approved, EPA proposal will change ozone standards for Detroit region - WDET 101.9 FM",,,,,,https://wdet.org/2026/07/31/if-approved-epa-proposal-will-change-ozone-standards-for-detroit-region/,The U.S. Environmental Protection Agency wants to redesignate the Detroit area’s ozone pollution status to ease regulations.,,https://wdet.org/wp-content/uploads/2016/10/Detroit_Skyline.jpg,,,2026-07-31 15:06:16.273404
,Costs & Impacts,2026-07-31 18:19:28+00:00,www.nao.usace.army.mil,"NAO-2026-00927 / VMRC 26-0988 (Steve Ordung Single Family Residence, York County, Virginia",,,,,,https://www.nao.usace.army.mil/Media/Public-Notices/Article/4556407/nao-2026-00927-vmrc-26-0988-steve-ordung-single-family-residence-york-county-vi/,"... Department of Environmental Quality. In accordance with Certification Rule part 121.12, the Corps will notify the U.S. Environmental Protection Agency ...",,,,,2026-07-31 17:03:49.895460
,Costs & Impacts,2026-07-31 18:17:54+00:00,The Salt Lake Tribune,Utah wants help saving Great Salt Lake in exchange for hosting federal nuclear hub,,,,,,https://www.sltrib.com/news/politics/2026/07/31/utah-wants-help-saving-great-salt/,"Utah is in the running to store part of the nation's nuclear waste. But in return, a state official said Utah wants help saving the Great Salt Lake.",,https://www.sltrib.com/resizer/v2/K5LCZUKT7ZDYJE32Y3LNDTMEBM.jpg?auth=40f2b7cc6e9cbc1cbd2d86cecf7441bf63bfff489e9eade500dfc73f20d58a7a&width=1200&height=630&quality=88&smart=true,,,2026-07-31 15:06:16.273404
,,2026-07-31 18:17:42+00:00,www.accgov.com,Tips for Reducing Mosquitoes & Avoiding Their Bites,,,,,,https://www.accgov.com/CivicAlerts.aspx?AID=6960,The Athens-Clarke County Unified Government (ACCGov) Communications &amp; Community Engagement Department provides tips and resources to help keep residents safe during upcoming months when many mosqu,,http://www.accgov.com/ImageRepository/Document?documentID=119683,,,2026-07-31 17:03:49.895460
,Costs & Impacts,2026-07-31 18:12:41+00:00,www.13wmaz.com,77-year-old Sandersville company says EPA decision 'threatens its very existence.' Here's how,,,,,,https://www.13wmaz.com/article/news/local/sandersville/77-year-old-sandersville-company-says-epa-decision-threatens-its-very-existence/93-b5caab83-4fb7-4490-9c49-b39b53eef205,"But the EPA says they are just following the law. Author: Lars Lonnroth. Published: 2:10 PM EDT July 31, 2026. Updated: ...",,,,,2026-07-31 15:06:16.273404
,,2026-07-31 18:06:34+00:00,Environment+Energy Leader,The EPA Is Measuring Success Differently Under Trump - Environment+Energy Leader,,,,,,"https://environmentenergyleader.com/stories/the-epa-is-measuring-success-differently-under-trump,135259","EPA's latest scorecard emphasizes permitting, cleanup, infrastructure, and regulatory actions over new climate initiatives, signaling shifted priorities.",,https://alpha.creativecirclecdn.com/environment/original/20260730-103720-753-Electrician%20Working%20on%20Renovation%20Project%20.jpg,,,2026-07-31 17:03:49.895460
,Costs & Impacts,2026-07-31 18:00:59+00:00,Alaska Public Media,Feds turn over Alaska hazardous waste management to state,,,,,,https://alaskapublic.org/news/environment/2026-07-31/feds-turn-over-alaska-hazardous-waste-management-to-state,The U.S. Environmental Protection Agency on Wednesday officially transferred authority for hazardous waste regulation to the Alaska Department of Environmental Conservation.,,https://npr.brightspotcdn.com/dims4/default/4501380/2147483647/strip/true/crop/2048x1075+0+145/resize/1200x630!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fa4%2F53%2F1aa0f1ed4e60bef2ae8b542abe80%2Fdsc07708-2048x1365.jpg,,,2026-07-31 15:06:16.273404
,,2026-07-31 17:47:20+00:00,www.hklaw.com,Cleared for Launch: FAA Proposes Sweeping Environmental Waivers for Commercial Space | Insights | Holland & Knight,,,,,,https://www.hklaw.com/en/insights/publications/2026/07/cleared-for-launch-faa-proposes-sweeping-environmental-waivers,,,https://www.hklaw.com/-/media/images/twittercards/hk_opengraph.png?rev=ec0d75523b1f4e68920e3e1b42304866&sc_lang=en&hash=3345DDE33F8D43A99B42BABA11D22AF8,,,2026-07-31 17:03:49.895460
,Opposition & Allies,2026-07-31 17:29:08+00:00,industrialcyber.co,Minnesota water cyberattacks prompt CISA warning on growing threats targeting internet ...,,,,,,https://industrialcyber.co/industrial-cyber-attacks/minnesota-water-cyberattacks-prompt-cisa-warning-on-growing-threats-targeting-internet-exposed-plcs/,"Furthermore, it advises organizations to contact the Environmental Protection Agency's Cybersecurity Technical Assistance Program for the Water ...",,,,,2026-07-31 16:04:58.382955
,,2026-07-31 17:24:31+00:00,Alaska Business Magazine,EPA Authorizes Alaska-led Hazardous Waste Management Program - Alaska Business Magazine,,,,,,https://www.akbizmag.com/industry/environmental/epa-authorizes-alaska-led-hazardous-waste-management-program/,The US Environmental Protection Agency granted Alaska authorization to administer its own hazardous waste management program.,,https://www.akbizmag.com/wp-content/uploads/2026/07/Hazard_Waste_AdobeStock_2006915686.webp,,,2026-07-31 15:06:16.273404
